1,530
0,822
25,096
7,368
3,895
2,987
0,308
139,077
1,289
10,398
0,243
150,545
7,728
2,508
4,129
0,438
300,311
0,427
12,010
3,033
1,537
3,347
5,973
2,755
6,679
0,828
8,400
4,988
5,859
8,426
3,961
3,426
1,891
0,243
20,587
4,473
0,894
11,697
18,658
1,988
6,244
1,891
4,234
0,629
3,546
7,681
3,456
5,442
14,315
1,041
2,852
3,466
1,010
0,804
6,331
3,851
1,475
9,206
3,723
5,125
10,518
5,607
3,070
23,825
0,015
146,311
9,113
2,257
5,747
2,764
3,154
12,409
0,894
0,664
0,816
7,728
12,293
2,729
7,433
19,080
2,942
5,281
0,949
9,495
4,129
1,826
5,281
6,641
0,270
10,541
2,026
15,465
2,063
0,804
1,263
8,400
0,422
28,877
1,053
6,755
2,459
2,345
5,795
1,550
3,406
8,933
3,202
16,813
4,510
8,090
0,781
0,071
156,303
7,052
6,530
3,994
3,681
9,022
0,555
2,897
0,618
1,141
4,867
5,875
19,540
7,052
4,084
0,345
64,457
0,433
197,743
0,828
1,322
0,792
5,956
2,897
7,239
3,366
4,750
5,486
7,658
3,042
1,640
0,133
50,523
1,877
11,748
2,729
9,206
5,252
4,597
2,171
4,448
23,292
0,942
6,679
2,385
0,164
8,018
18,870
0,804
2,329
7,728
8,617
8,758
0,955
3,145
7,522
1,085
5,779
0,302
120,172
2,402
14,146
6,872
4,061
12,013
5,562
12,589
0,340
345,109
5,891
4,050
3,061
7,260
8,400
0,985
7,368
7,012
4,164
1,754
7,218
2,643
6,140
3,079
6,641
2,808
12,179
10,280
11,697
0,918
3,862
6,261
3,830
13,983
9,595
0,092
58,483
0,924
6,073
2,517
10,518
16,675
13,523
1,754
0,087
11,641
3,983
1,375
1,415
20,608
14,763
5,353
9,206
4,534
1,283
5,716
5,562
16,409
9,528
5,973
6,493
1,199
5,956
10,204
4,828
5,531
8,294
3,356
6,157
0,510
8,535
2,210
0,076
103,469
2,426
0,302
96,374
1,205
4,763
2,226
2,609
4,789
8,816
3,366
5,029
1,309
4,724
5,700
1,035
0,020
77,917
4,907
2,817
0,097
45,574
1,362
0,212
62,106
3,135
2,870
8,507
8,065
15,465
1,362
2,870
1,761
0,389
471,629
19,540
10,128
15,358
14,315
1,530
8,962
10,204
0,180
119,193
27,927
0,281
10,420
4,947
7,846
2,906
1,448
3,307
2,888
1,028
13,450
0,000
